kernel,n,comp,block_size,run,kernel_time,total_time
a,65536,1,16,1,0.000121,0.23952
a,65536,1,16,2,0.000118,0.165221
a,65536,1,16,3,0.000116,0.156056
a,65536,1,16,4,0.000145,0.147612
a,65536,1,16,5,0.000116,0.137384
a,65536,1,16,6,0.000116,0.143449
a,65536,1,16,7,0.000117,0.137854
a,65536,1,16,8,0.000141,0.151672
a,65536,1,16,9,0.000115,0.137442
a,65536,1,16,10,0.000114,0.144332
a,131072,1,16,1,0.000126,0.1462
a,131072,1,16,2,0.000122,0.14111
a,131072,1,16,3,0.00012,0.148231
a,131072,1,16,4,0.000144,0.1406
a,131072,1,16,5,0.00012,0.148928
a,131072,1,16,6,0.000122,0.152027
a,131072,1,16,7,0.000121,0.151892
a,131072,1,16,8,0.000141,0.140835
a,131072,1,16,9,0.000122,0.146985
a,131072,1,16,10,0.000142,0.141267
a,262144,1,16,1,0.000141,0.148801
a,262144,1,16,2,0.000138,0.147258
a,262144,1,16,3,0.000144,0.150461
a,262144,1,16,4,0.000141,0.146081
a,262144,1,16,5,0.000141,0.155447
a,262144,1,16,6,0.000144,0.148882
a,262144,1,16,7,0.000142,0.157098
a,262144,1,16,8,0.000141,0.15137
a,262144,1,16,9,0.000138,0.153667
a,262144,1,16,10,0.000141,0.146873
a,524288,1,16,1,0.00019,0.158078
a,524288,1,16,2,0.00018,0.161291
a,524288,1,16,3,0.000177,0.157422
a,524288,1,16,4,0.000179,0.16336
a,524288,1,16,5,0.000187,0.158076
a,524288,1,16,6,0.000183,0.158512
a,524288,1,16,7,0.00018,0.169264
a,524288,1,16,8,0.000187,0.158424
a,524288,1,16,9,0.000197,0.16797
a,524288,1,16,10,0.000183,0.158724
a,1048576,1,16,1,0.000239,0.184091
a,1048576,1,16,2,0.000242,0.176173
a,1048576,1,16,3,0.000244,0.188071
a,1048576,1,16,4,0.000236,0.178212
a,1048576,1,16,5,0.000242,0.189478
a,1048576,1,16,6,0.000241,0.184256
a,1048576,1,16,7,0.000237,0.179772
a,1048576,1,16,8,0.000242,0.180689
a,1048576,1,16,9,0.000244,0.175754
a,1048576,1,16,10,0.000248,0.18282
a,2097152,1,16,1,0.000362,0.22425
a,2097152,1,16,2,0.000384,0.221652
a,2097152,1,16,3,0.000363,0.216111
a,2097152,1,16,4,0.000387,0.224642
a,2097152,1,16,5,0.000398,0.237106
a,2097152,1,16,6,0.0004,0.226865
a,2097152,1,16,7,0.000383,0.225776
a,2097152,1,16,8,0.000386,0.224552
a,2097152,1,16,9,0.000387,0.228734
a,2097152,1,16,10,0.000412,0.23595
a,4194304,1,16,1,0.000616,0.313592
a,4194304,1,16,2,0.000672,0.319942
a,4194304,1,16,3,0.000693,0.317037
a,4194304,1,16,4,0.000701,0.323552
a,4194304,1,16,5,0.000698,0.324638
a,4194304,1,16,6,0.000688,0.318089
a,4194304,1,16,7,0.000639,0.302962
a,4194304,1,16,8,0.000639,0.307849
a,4194304,1,16,9,0.000634,0.306839
a,4194304,1,16,10,0.000626,0.307931
a,8388608,1,16,1,0.001085,0.476215
a,8388608,1,16,2,0.001226,0.472598
a,8388608,1,16,3,0.00124,0.476362
a,8388608,1,16,4,0.00122,0.473155
a,8388608,1,16,5,0.001202,0.48095
a,8388608,1,16,6,0.001206,0.48334
a,8388608,1,16,7,0.001099,0.466114
a,8388608,1,16,8,0.0011,0.476213
a,8388608,1,16,9,0.001094,0.467281
a,8388608,1,16,10,0.001251,0.476301
a,16777216,1,16,1,0.002291,0.791179
a,16777216,1,16,2,0.002301,0.790447
a,16777216,1,16,3,0.002289,0.792903
a,16777216,1,16,4,0.002286,0.794697
a,16777216,1,16,5,0.002292,0.796457
a,16777216,1,16,6,0.002295,0.79611
a,16777216,1,16,7,0.002291,0.795133
a,16777216,1,16,8,0.002295,0.794494
a,16777216,1,16,9,0.002293,0.792443
a,16777216,1,16,10,0.002295,0.79598
a,33554432,1,16,1,0.0044,1.414127
a,33554432,1,16,2,0.004394,1.415803
a,33554432,1,16,3,0.004384,1.418122
a,33554432,1,16,4,0.004389,1.41465
a,33554432,1,16,5,0.004392,1.422675
a,33554432,1,16,6,0.004391,1.431212
a,33554432,1,16,7,0.004387,1.427709
a,33554432,1,16,8,0.004395,1.421355
a,33554432,1,16,9,0.004403,1.457719
a,33554432,1,16,10,0.004397,1.427503
a,65536,1,32,1,0.000125,0.169433
a,65536,1,32,2,0.000118,0.163001
a,65536,1,32,3,0.000113,0.14312
a,65536,1,32,4,0.000115,0.144135
a,65536,1,32,5,0.000117,0.147039
a,65536,1,32,6,0.000115,0.139159
a,65536,1,32,7,0.000108,0.147857
a,65536,1,32,8,0.000117,0.13956
a,65536,1,32,9,0.000112,0.148476
a,65536,1,32,10,0.00011,0.137498
a,131072,1,32,1,0.00012,0.141511
a,131072,1,32,2,0.000118,0.140002
a,131072,1,32,3,0.00016,0.15075
a,131072,1,32,4,0.000115,0.147505
a,131072,1,32,5,0.000119,0.13961
a,131072,1,32,6,0.000117,0.151494
a,131072,1,32,7,0.000118,0.153292
a,131072,1,32,8,0.000125,0.141563
a,131072,1,32,9,0.000121,0.139131
a,131072,1,32,10,0.000121,0.147462
a,262144,1,32,1,0.000129,0.156163
a,262144,1,32,2,0.000135,0.147057
a,262144,1,32,3,0.000132,0.153852
a,262144,1,32,4,0.000133,0.147195
a,262144,1,32,5,0.000142,0.157263
a,262144,1,32,6,0.000136,0.154717
a,262144,1,32,7,0.000133,0.150451
a,262144,1,32,8,0.000142,0.152607
a,262144,1,32,9,0.000137,0.153885
